date,invoice number,value,haircut percent,Daily fee percent,currency,Revenue source,customer,Expected payment duration
2023-04-30,3531,519.5,10,0.125,USD,Happy Playcrows,RunUp INC,65
2023-05-01,3710,12041.95,10,0.125,USD,Index Playcrows,RunUp INC,60
2023-03-27,3533,1199.2,10,0.125,USD,SpotX Replay,RunUp INC,65
2023-04-01,3534,580.6,10,0.125,USD,SpotX Replay,RunUp INC,65
2023-04-01,3536,619.501082,10,0.125,USD,AlexUndeR,RunUp INC,65
2023-04-10,3579,1905.92,10,0.125,USD,SpotX Replay,RunUp INC,65
2023-05-01,3600,2080.39,10,0.125,USD,SpotX Replay,RunUp INC,65
2021-12-01,3080,5496.876,10,0.125,USD,Happy Playcrows,RunUp INC,65
2023-04-17,3583,1153.724,10,0.125,USD,Happy Playcrows,RunUp INC,65
2023-03-27,3539,4002.3006,10,0.125,USD,SuperAmazing,RunUp INC,60
2023-04-24,3593,861.758,10,0.125,USD,Happy Playcrows,RunUp INC,65
2021-01-11,3541,734.43,10,0.125,USD,Freewhere,RunUp INC,65
2022-11-01,3618,9896.9,10,0.126,USD,SkyLTD,RunUp INC,60
2023-05-08,3610,2178.917447,10,0.125,USD,AlexUndeR,RunUp INC,65
2023-05-08,3609,1629.69,10,0.125,USD,SpotX Replay,RunUp INC,65
2023-05-08,3608,722.007,10,0.125,USD,Happy Playcrows,RunUp INC,65
2023-03-27,3535,1304.302394,10,0.125,USD,AlexUndeR,RunUp INC,65
2021-12-06,3081,7798.536,10,0.125,USD,Happy Playcrows,RunUp INC,65
2021-08-30,2148,4134.25,10,0.125,USD,Playwear,RunUp INC,60
2021-11-29,3079,2997.2,10,0.125,USD,Happy Playcrows,RunUp INC,65
2021-11-22,3078,13111.496,10,0.125,USD,Happy Playcrows,RunUp INC,65
2021-11-08,3076,12659.718,10,0.125,USD,Happy Playcrows,RunUp INC,65
2021-11-01,3075,7081.79,10,0.125,USD,Happy Playcrows,RunUp INC,65
2022-05-16,2193,2778.73,10,0.125,USD,Playwear,RunUp INC,60
2023-06-19,3711,47.055,10,0.125,USD,Happy Playcrows,RunUp INC,65
2023-06-19,3712,318.26,10,0.125,USD,SpotX Replay,RunUp INC,65
2023-06-19,3713,1639.721557,10,0.125,USD,AlexUndeR,RunUp INC,65
2023-06-19,3715,7049.508,10,0.125,USD,SuperAmazing,RunUp INC,60
2020-12-28,2107,195.15,10,0.125,USD,Playwear,RunUp INC,60
2023-07-03,5134,9.21,10,0.125,USD,SpotX Replay,RunUp INC,65
2022-09-12,3383,5781.521733,10,0.125,USD,AlexUndeR,RunUp INC,65
2023-07-01,6798,117937.2,10,0.126,USD,SkyLTD,RunUp INC,60
2023-08-01,6817,103908.22,10,0.126,USD,SkyLTD,RunUp INC,60
